season,team_id,team_analytics_name,team_name_arr,jersey_number,player_id,player_analytics_name,player_name,player_pos,player_age,player_height,player_weight,player_college,player_headshot,player_url
2023,2,birmingham-stallions,Birmingham Stallions,69,523,cohl-cabral,Cohl Cabral,C,25,"6'5""",304,Arizona State,https://b.fssta.com/uploads/application/usfl/headshots/523.vresize.140.170.medium.95.png,football/usfl/athletes/523
2023,2,birmingham-stallions,Birmingham Stallions,85,803,deon-cain,Deon Cain,WR,26,"6'2""",202,Clemson,https://b.fssta.com/uploads/application/usfl/headshots/803.vresize.140.170.medium.66.png,football/usfl/athletes/803
2023,2,birmingham-stallions,Birmingham Stallions,13,805,davion-davis,Davion Davis,WR,26,"5'11""",195,Sam Houston State,https://b.fssta.com/uploads/application/usfl/headshots/805.vresize.140.170.medium.67.png,football/usfl/athletes/805
2023,2,birmingham-stallions,Birmingham Stallions,8,375,michael-dereus,Michael Dereus,WR,26,"6'1""",209,Georgetown,https://b.fssta.com/uploads/application/usfl/headshots/375.vresize.140.170.medium.61.png,football/usfl/athletes/375
2023,2,birmingham-stallions,Birmingham Stallions,74,2,oshea-dugas,O'Shea Dugas,OL,26,"6'4""",335,Louisiana Tech,https://b.fssta.com/uploads/application/usfl/headshots/2.vresize.140.170.medium.29.png,football/usfl/athletes/2
2023,2,birmingham-stallions,Birmingham Stallions,77,642,derwin-gray,Derwin Gray,T,28,"6'5""",320,Maryland,https://b.fssta.com/uploads/application/usfl/headshots/642.vresize.140.170.medium.95.png,football/usfl/athletes/642
2023,2,birmingham-stallions,Birmingham Stallions,16,475,adrian-hardy,Adrian Hardy,WR,26,"6'2""",205,Louisiana Tech,https://b.fssta.com/uploads/application/usfl/headshots/475.vresize.140.170.medium.16.png,football/usfl/athletes/475
2023,2,birmingham-stallions,Birmingham Stallions,76,21,darius-harper,Darius Harper,T,25,"6'6""",310,Cincinnati,https://b.fssta.com/uploads/application/usfl/headshots/21.vresize.140.170.medium.39.png,football/usfl/athletes/21
2023,2,birmingham-stallions,Birmingham Stallions,44,286,bobby-holly,Bobby Holly,FB,25,"5'11""",240,Louisiana Tech,https://b.fssta.com/uploads/application/usfl/headshots/286.vresize.140.170.medium.11.png,football/usfl/athletes/286
2023,2,birmingham-stallions,Birmingham Stallions,67,518,jahmir-johnson,Jahmir Johnson,T,25,"6'5""",300,Texas A&M,https://b.fssta.com/uploads/application/usfl/headshots/518.vresize.140.170.medium.90.png,football/usfl/athletes/518
2023,2,birmingham-stallions,Birmingham Stallions,1,840,josh-johnson,Josh Johnson,WR,23,"5'11""",179,Tulsa,https://b.fssta.com/uploads/application/fs-app/default-headshot.vresize.140.170.medium.0.png,football/usfl/athletes/840
2023,2,birmingham-stallions,Birmingham Stallions,63,625,matt-kaskey,Matt Kaskey,G,26,"6'7""",325,Dartmouth,https://b.fssta.com/uploads/application/usfl/headshots/625.vresize.140.170.medium.29.png,football/usfl/athletes/625
2023,2,birmingham-stallions,Birmingham Stallions,11,25,cj-marable,CJ Marable,RB,26,"5'10""",194,Coastal Carolina,https://b.fssta.com/uploads/application/usfl/headshots/25.vresize.140.170.medium.42.png,football/usfl/athletes/25
2023,2,birmingham-stallions,Birmingham Stallions,2,27,alex-mcgough,Alex McGough,QB,27,"6'3""",214,Florida International,https://b.fssta.com/uploads/application/usfl/headshots/27.vresize.140.170.medium.44.png,football/usfl/athletes/27
2023,2,birmingham-stallions,Birmingham Stallions,81,630,myron-mitchell,Myron Mitchell,WR,24,"6'1""",180,UAB,https://b.fssta.com/uploads/application/usfl/headshots/630.vresize.140.170.medium.33.png,football/usfl/athletes/630
2023,2,birmingham-stallions,Birmingham Stallions,18,623,jalen-morton,Jalen Morton,QB,25,"6'4""",226,Prairie View A&M,https://b.fssta.com/uploads/application/usfl/headshots/623.vresize.140.170.medium.28.png,football/usfl/athletes/623
2023,2,birmingham-stallions,Birmingham Stallions,86,835,thaddeus-moss,Thaddeus Moss,TE,25,"6'3""",249,LSU,https://b.fssta.com/uploads/application/fs-app/default-headshot.vresize.140.170.medium.0.png,football/usfl/athletes/835
2023,2,birmingham-stallions,Birmingham Stallions,23,847,ricky-person-jr,Ricky Person Jr.,RB,23,"6'0""",216,NC State,https://b.fssta.com/uploads/application/fs-app/default-headshot.vresize.140.170.medium.0.png,football/usfl/athletes/847
2023,2,birmingham-stallions,Birmingham Stallions,80,142,lamichael-pettway,La'Michael Pettway,TE,26,"6'1""",230,Iowa State,https://b.fssta.com/uploads/application/usfl/headshots/142.vresize.140.170.medium.19.png,football/usfl/athletes/142
2023,2,birmingham-stallions,Birmingham Stallions,25,414,bo-scarbrough,Bo Scarbrough,RB,28,"6'1""",235,Alabama,https://b.fssta.com/uploads/application/usfl/headshots/414.vresize.140.170.medium.82.png,football/usfl/athletes/414
2023,2,birmingham-stallions,Birmingham Stallions,65,828,cole-schneider,Cole Schneider,G,24,"6'3""",315,Central Florida,https://b.fssta.com/uploads/application/usfl/headshots/828.vresize.140.170.medium.42.png,football/usfl/athletes/828
2023,2,birmingham-stallions,Birmingham Stallions,3,130,kyle-sloter,Kyle Sloter,QB,29,"6'5""",218,Northern Colorado,https://b.fssta.com/uploads/application/usfl/headshots/130.vresize.140.170.medium.41.png,football/usfl/athletes/130
2023,2,birmingham-stallions,Birmingham Stallions,6,3,jmar-smith,J'Mar Smith,QB,26,"6'1""",218,Louisiana Tech,https://b.fssta.com/uploads/application/usfl/headshots/3.vresize.140.170.medium.30.png,football/usfl/athletes/3
2023,2,birmingham-stallions,Birmingham Stallions,12,681,jace-sternberger,Jace Sternberger,TE,26,"6'4""",251,Texas A&M,https://b.fssta.com/uploads/application/usfl/headshots/681.vresize.140.170.medium.79.png,football/usfl/athletes/681
2023,2,birmingham-stallions,Birmingham Stallions,79,841,trevour-wallace-simms,Tre'Vour Wallace-Simms,G,25,"6'5""",330,Missouri,https://b.fssta.com/uploads/application/fs-app/default-headshot.vresize.140.170.medium.0.png,football/usfl/athletes/841
2023,2,birmingham-stallions,Birmingham Stallions,14,592,austin-watkins,Austin Watkins,WR,25,"6'3""",210,UAB,https://b.fssta.com/uploads/application/usfl/headshots/592.vresize.140.170.medium.51.png,football/usfl/athletes/592
2023,2,birmingham-stallions,Birmingham Stallions,4,667,zaquandre-white,Zaquandre White,RB,24,"6'1""",215,South Carolina,https://b.fssta.com/uploads/application/usfl/headshots/667.vresize.140.170.medium.16.png,football/usfl/athletes/667
2023,2,birmingham-stallions,Birmingham Stallions,17,281,marlon-williams,Marlon Williams,WR,23,"5'11""",204,UCF,https://b.fssta.com/uploads/application/usfl/headshots/281.vresize.140.170.medium.8.png,football/usfl/athletes/281
2023,2,birmingham-stallions,Birmingham Stallions,29,20,brian-allen,Brian Allen,CB,29,"6'3""",210,Utah,https://b.fssta.com/uploads/application/usfl/headshots/20.vresize.140.170.medium.38.png,football/usfl/athletes/20
2023,2,birmingham-stallions,Birmingham Stallions,26,617,nate-brooks,Nate Brooks,CB,27,"6'0""",192,North Texas,https://b.fssta.com/uploads/application/usfl/headshots/617.vresize.140.170.medium.24.png,football/usfl/athletes/617
2023,2,birmingham-stallions,Birmingham Stallions,40,30,brody-buck,Brody Buck,LB,25,"6'1""",230,Northwest Missouri State,https://b.fssta.com/uploads/application/usfl/headshots/30.vresize.140.170.medium.45.png,football/usfl/athletes/30
2023,2,birmingham-stallions,Birmingham Stallions,22,10,lorenzo-burns,Lorenzo Burns,CB,25,"5'11""",183,Arizona,https://b.fssta.com/uploads/application/usfl/headshots/10.vresize.140.170.medium.33.png,football/usfl/athletes/10
2023,2,birmingham-stallions,Birmingham Stallions,7,812,tj-carter-2,T.J. Carter,S,24,"5'11""",193,TCU,https://b.fssta.com/uploads/application/usfl/headshots/812.vresize.140.170.medium.29.png,football/usfl/athletes/812
2023,2,birmingham-stallions,Birmingham Stallions,94,639,darrion-daniels,Darrion Daniels,DE,25,"6'3""",311,Nebraska,https://b.fssta.com/uploads/application/usfl/headshots/639.vresize.140.170.medium.92.png,football/usfl/athletes/639
2023,2,birmingham-stallions,Birmingham Stallions,95,822,khalil-davis,Khalil Davis,DT,26,"6'1""",308,Nebraska,https://b.fssta.com/uploads/application/usfl/headshots/822.vresize.140.170.medium.38.png,football/usfl/athletes/822
2023,2,birmingham-stallions,Birmingham Stallions,0,508,mark-fields-ii,Mark Fields II,CB,26,"5'10""",180,Clemson,https://b.fssta.com/uploads/application/fs-app/default-headshot.vresize.140.170.medium.0.png,football/usfl/athletes/508
2023,2,birmingham-stallions,Birmingham Stallions,0,441,malik-grant,Malik Grant,S,25,"6'2""",203,Marshall,https://b.fssta.com/uploads/application/usfl/headshots/441.vresize.140.170.medium.3.png,football/usfl/athletes/441
2023,2,birmingham-stallions,Birmingham Stallions,96,400,willie-henry,Willie Henry,DT,29,"6'3""",295,Michigan,https://b.fssta.com/uploads/application/usfl/headshots/400.vresize.140.170.medium.76.png,football/usfl/athletes/400
2023,2,birmingham-stallions,Birmingham Stallions,36,289,nate-holley,Nate Holley,S,28,"6'1""",210,Kent State,https://b.fssta.com/uploads/application/usfl/headshots/289.vresize.140.170.medium.14.png,football/usfl/athletes/289
2023,2,birmingham-stallions,Birmingham Stallions,90,806,joe-jackson,Joe Jackson,DE,26,"6'4""",278,Miami (FL),https://b.fssta.com/uploads/application/usfl/headshots/806.vresize.140.170.medium.23.png,football/usfl/athletes/806
2023,2,birmingham-stallions,Birmingham Stallions,20,666,donnie-lewis,Donnie Lewis II,CB,26,"6'0""",190,Tulane,https://b.fssta.com/uploads/application/usfl/headshots/666.vresize.140.170.medium.15.png,football/usfl/athletes/666
2023,2,birmingham-stallions,Birmingham Stallions,5,24,christian-mcfarland,Christian McFarland,S,24,"5'11""",200,Idaho State,https://b.fssta.com/uploads/application/usfl/headshots/24.vresize.140.170.medium.40.png,football/usfl/athletes/24
