season,division,team_rank,team_analytics_name,league,team_nickname,team_name,team_logo_url,team_logo_alt_url,team_id,overall_record_txt,overall_W,overall_L,overall_T,overall_win_pct,overall_points_scored,overall_points_allowed,overall_point_diff,home_record_txt,home_W,home_L,home_T,home_win_pct,away_record_txt,away_W,away_L,away_T,away_win_pct,division_record_txt,division_W,division_L,division_T,division_win_pct,streak
2022,NORTH,1,new-jersey-generals,usfl,Generals,New Jersey Generals,https://b.fssta.com/uploads/application/usfl/team-logos/Generals.vresize.200.200.medium.1.png,https://b.fssta.com/uploads/application/usfl/team-logos/Generals-alternate.vresize.200.200.medium.1.png,12,9-1,9,1,0,.900,232,182,50,5-0,5,0,0,1.0,4-1,4,1,0,0.8,6-0,6,0,0,1.0,W9
2022,NORTH,2,philadelphia-stars,usfl,Stars,Philadelphia Stars,https://b.fssta.com/uploads/application/usfl/team-logos/Stars.vresize.200.200.medium.1.png,https://b.fssta.com/uploads/application/usfl/team-logos/Stars-alternate.vresize.200.200.medium.1.png,4,6-4,6,4,0,.600,262,243,19,3-2,3,2,0,0.6,3-2,3,2,0,0.6,4-2,4,2,0,0.667,L1
2022,NORTH,3,michigan-panthers,usfl,Panthers,Michigan Panthers,https://b.fssta.com/uploads/application/usfl/team-logos/Panthers.vresize.200.200.medium.1.png,https://b.fssta.com/uploads/application/usfl/team-logos/Panthers.vresize.200.200.medium.1.png,11,2-8,2,8,0,.200,211,236,-25,1-4,1,4,0,0.2,1-4,1,4,0,0.2,2-4,2,4,0,0.333,W1
2022,NORTH,4,pittsburgh-maulers,usfl,Maulers,Pittsburgh Maulers,https://b.fssta.com/uploads/application/usfl/team-logos/Maulers.vresize.200.200.medium.5.png,https://b.fssta.com/uploads/application/usfl/team-logos/Maulers.vresize.200.200.medium.5.png,16,1-9,1,9,0,.100,147,243,-96,0-5,0,5,0,0.0,1-4,1,4,0,0.2,0-6,0,6,0,0.0,L5
2022,SOUTH,1,birmingham-stallions,usfl,Stallions,Birmingham Stallions,https://b.fssta.com/uploads/application/usfl/team-logos/Stallions.vresize.200.200.medium.1.png,https://b.fssta.com/uploads/application/usfl/team-logos/Stallions.vresize.200.200.medium.1.png,2,9-1,9,1,0,.900,234,169,65,4-1,4,1,0,0.8,5-0,5,0,0,1.0,5-1,5,1,0,0.833,W1
2022,SOUTH,2,new-orleans-breakers,usfl,Breakers,New Orleans Breakers,https://b.fssta.com/uploads/application/usfl/team-logos/Breakers.vresize.200.200.medium.1.png,https://b.fssta.com/uploads/application/usfl/team-logos/Breakers-alternate.vresize.200.200.medium.1.png,7,6-4,6,4,0,.600,196,164,32,4-1,4,1,0,0.8,2-3,2,3,0,0.4,3-3,3,3,0,0.5,L1
2022,SOUTH,3,tampa-bay-bandits,usfl,Bandits,Tampa Bay Bandits,https://b.fssta.com/uploads/application/usfl/team-logos/Bandits.vresize.200.200.medium.1.png,https://b.fssta.com/uploads/application/usfl/team-logos/Bandits-alternate.vresize.200.200.medium.1.png,18,4-6,4,6,0,.400,162,195,-33,2-3,2,3,0,0.4,2-3,2,3,0,0.4,2-4,2,4,0,0.333,L2
2022,SOUTH,4,houston-gamblers,usfl,Gamblers,Houston Gamblers,https://b.fssta.com/uploads/application/usfl/team-logos/Gamblers.vresize.200.200.medium.1.png,https://b.fssta.com/uploads/application/usfl/team-logos/Gamblers-alternate.vresize.200.200.medium.1.png,6,3-7,3,7,0,.300,196,208,-12,1-4,1,4,0,0.2,2-3,2,3,0,0.4,2-4,2,4,0,0.333,W2
