game_id,season,analytics_description,event_status,is_tba,game_start,game_end,status_line,venue_name,venue_location,share_text,importance,away_team_abv,away_team_nickname,away_team_full_name,away_team_record,away_team_score,away_team_is_loser,away_team_has_possession,home_team_abv,home_team_nickname,home_team_full_name,home_team_record,home_team_score,home_team_is_loser,home_team_has_possession,additional_title,event_title
1,2022,new-jersey-generals-vs-birmingham-stallions-20220416,3,False,2022-04-15T23:30:00Z,2022-04-18T02:30:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: New Jersey Generals at Birmingham Stallions,2,NJ,GENERALS,New Jersey Generals,0-1,24,True,False,BHAM,STALLIONS,Birmingham Stallions,1-0,28,False,False,,New Jersey Generals at Birmingham Stallions
2,2022,houston-gamblers-vs-michigan-panthers-20220417,3,False,2022-04-16T16:00:00Z,2022-04-18T19:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Houston Gamblers at Michigan Panthers,0,HOU,GAMBLERS,Houston Gamblers,1-0,17,False,False,MICH,PANTHERS,Michigan Panthers,0-1,12,True,False,,Houston Gamblers at Michigan Panthers
3,2022,philadelphia-stars-vs-new-orleans-breakers-20220417,3,False,2022-04-16T21:00:00Z,2022-04-19T00:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Philadelphia Stars at New Orleans Breakers,0,PHI,STARS,Philadelphia Stars,0-1,17,True,False,NO,BREAKERS,New Orleans Breakers,1-0,23,False,False,,Philadelphia Stars at New Orleans Breakers
4,2022,tampa-bay-bandits-vs-pittsburgh-maulers-20220418,3,False,2022-04-17T23:00:00Z,2022-04-20T02:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Tampa Bay Bandits at Pittsburgh Maulers,2,TB,BANDITS,Tampa Bay Bandits,1-0,17,False,False,PIT,MAULERS,Pittsburgh Maulers,0-1,3,True,False,,Tampa Bay Bandits at Pittsburgh Maulers
5,2022,michigan-panthers-vs-new-jersey-generals-20220422,3,False,2022-04-22T00:00:00Z,2022-04-24T03:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Michigan Panthers at New Jersey Generals,0,MICH,PANTHERS,Michigan Panthers,0-2,6,True,False,NJ,GENERALS,New Jersey Generals,1-1,10,False,False,,Michigan Panthers at New Jersey Generals
6,2022,pittsburgh-maulers-vs-philadelphia-stars-20220423,3,False,2022-04-22T16:00:00Z,2022-04-24T19:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Pittsburgh Maulers at Philadelphia Stars,0,PIT,MAULERS,Pittsburgh Maulers,0-2,23,True,False,PHI,STARS,Philadelphia Stars,1-1,30,False,False,,Pittsburgh Maulers at Philadelphia Stars
7,2022,birmingham-stallions-vs-houston-gamblers-20220423,3,False,2022-04-22T23:00:00Z,2022-04-25T02:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Birmingham Stallions at Houston Gamblers,0,BHAM,STALLIONS,Birmingham Stallions,2-0,33,False,False,HOU,GAMBLERS,Houston Gamblers,1-1,28,True,False,,Birmingham Stallions at Houston Gamblers
8,2022,new-orleans-breakers-vs-tampa-bay-bandits-20220424,3,False,2022-04-23T19:00:00Z,2022-04-25T22:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: New Orleans Breakers at Tampa Bay Bandits,0,NO,BREAKERS,New Orleans Breakers,2-0,34,False,False,TB,BANDITS,Tampa Bay Bandits,1-1,3,True,False,,New Orleans Breakers at Tampa Bay Bandits
9,2022,tampa-bay-bandits-vs-houston-gamblers-20220430,3,False,2022-04-29T20:00:00Z,2022-05-01T23:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Tampa Bay Bandits at Houston Gamblers,0,TB,BANDITS,Tampa Bay Bandits,2-1,27,False,False,HOU,GAMBLERS,Houston Gamblers,1-2,26,True,False,,Tampa Bay Bandits at Houston Gamblers
10,2022,pittsburgh-maulers-vs-michigan-panthers-20220501,3,False,2022-04-30T18:30:00Z,2022-05-02T21:30:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Pittsburgh Maulers at Michigan Panthers,0,PIT,MAULERS,Pittsburgh Maulers,0-3,0,True,False,MICH,PANTHERS,Michigan Panthers,1-2,24,False,False,,Pittsburgh Maulers at Michigan Panthers
11,2022,birmingham-stallions-vs-new-orleans-breakers-20220430,3,False,2022-04-30T00:00:00Z,2022-05-02T03:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Birmingham Stallions at New Orleans Breakers,0,BHAM,STALLIONS,Birmingham Stallions,3-0,22,False,False,NO,BREAKERS,New Orleans Breakers,2-1,13,True,False,,Birmingham Stallions at New Orleans Breakers
