game_id,season,analytics_description,event_status,is_tba,game_start,game_end,status_line,venue_name,venue_location,share_text,importance,away_team_abv,away_team_nickname,away_team_full_name,away_team_record,away_team_score,away_team_is_loser,away_team_has_possession,home_team_abv,home_team_nickname,home_team_full_name,home_team_record,home_team_score,home_team_is_loser,home_team_has_possession,additional_title,event_title
12,2022,new-jersey-generals-vs-philadelphia-stars-20220501,3,False,2022-05-01T00:00:00Z,2022-05-03T03:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: New Jersey Generals at Philadelphia Stars,0,NJ,GENERALS,New Jersey Generals,2-1,24,False,False,PHI,STARS,Philadelphia Stars,1-2,16,True,False,,New Jersey Generals at Philadelphia Stars
13,2022,philadelphia-stars-vs-michigan-panthers-20220506,3,False,2022-05-06T02:00:00Z,2022-05-08T05:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Philadelphia Stars at Michigan Panthers,0,PHI,STARS,Philadelphia Stars,2-2,26,False,False,MICH,PANTHERS,Michigan Panthers,1-3,25,True,False,,Philadelphia Stars at Michigan Panthers
14,2022,new-jersey-generals-vs-pittsburgh-maulers-20220507,3,False,2022-05-06T18:30:00Z,2022-05-08T21:30:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: New Jersey Generals at Pittsburgh Maulers,0,NJ,GENERALS,New Jersey Generals,3-1,21,False,False,PIT,MAULERS,Pittsburgh Maulers,0-4,13,True,False,,New Jersey Generals at Pittsburgh Maulers
15,2022,houston-gamblers-vs-new-orleans-breakers-20220508,3,False,2022-05-07T19:00:00Z,2022-05-09T22:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Houston Gamblers at New Orleans Breakers,0,HOU,GAMBLERS,Houston Gamblers,1-3,16,True,False,NO,BREAKERS,New Orleans Breakers,3-1,23,False,False,,Houston Gamblers at New Orleans Breakers
16,2022,tampa-bay-bandits-vs-birmingham-stallions-20220507,3,False,2022-05-06T23:00:00Z,2022-05-09T02:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Tampa Bay Bandits at Birmingham Stallions,0,TB,BANDITS,Tampa Bay Bandits,2-2,10,True,False,BHAM,STALLIONS,Birmingham Stallions,4-0,16,False,False,,Tampa Bay Bandits at Birmingham Stallions
17,2022,pittsburgh-maulers-vs-houston-gamblers-20220515,3,False,2022-05-14T20:00:00Z,2022-05-16T23:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Pittsburgh Maulers at Houston Gamblers,0,PIT,MAULERS,Pittsburgh Maulers,1-4,21,False,False,HOU,GAMBLERS,Houston Gamblers,1-4,20,True,False,,Pittsburgh Maulers at Houston Gamblers
18,2022,new-orleans-breakers-vs-new-jersey-generals-20220514,3,False,2022-05-13T19:00:00Z,2022-05-15T22:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: New Orleans Breakers at New Jersey Generals,0,NO,BREAKERS,New Orleans Breakers,3-2,17,True,False,NJ,GENERALS,New Jersey Generals,4-1,27,False,False,,New Orleans Breakers at New Jersey Generals
19,2022,birmingham-stallions-vs-philadelphia-stars-20220515,3,False,2022-05-14T16:00:00Z,2022-05-16T19:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Birmingham Stallions at Philadelphia Stars,0,BHAM,STALLIONS,Birmingham Stallions,5-0,30,False,False,PHI,STARS,Philadelphia Stars,2-3,17,True,False,,Birmingham Stallions at Philadelphia Stars
20,2022,michigan-panthers-vs-tampa-bay-bandits-20220513,3,False,2022-05-13T00:00:00Z,2022-05-15T03:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Michigan Panthers at Tampa Bay Bandits,0,MICH,PANTHERS,Michigan Panthers,1-4,20,True,False,TB,BANDITS,Tampa Bay Bandits,3-2,27,False,False,,Michigan Panthers at Tampa Bay Bandits
21,2022,tampa-bay-bandits-vs-philadelphia-stars-20220521,3,False,2022-05-20T17:00:00Z,2022-05-22T20:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Tampa Bay Bandits at Philadelphia Stars,0,TB,BANDITS,Tampa Bay Bandits,3-3,28,True,False,PHI,STARS,Philadelphia Stars,3-3,35,False,False,,Tampa Bay Bandits at Philadelphia Stars
22,2022,michigan-panthers-vs-birmingham-stallions-20220521,3,False,2022-05-20T23:30:00Z,2022-05-23T02:30:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Michigan Panthers at Birmingham Stallions,0,MICH,PANTHERS,Michigan Panthers,1-5,17,True,False,BHAM,STALLIONS,Birmingham Stallions,6-0,33,False,False,,Michigan Panthers at Birmingham Stallions
23,2022,houston-gamblers-vs-new-jersey-generals-20220522,3,False,2022-05-21T20:00:00Z,2022-05-23T23:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Houston Gamblers at New Jersey Generals,0,HOU,GAMBLERS,Houston Gamblers,1-5,25,True,False,NJ,GENERALS,New Jersey Generals,5-1,26,False,False,,Houston Gamblers at New Jersey Generals
24,2022,pittsburgh-maulers-vs-new-orleans-breakers-20220522,3,False,2022-05-21T16:00:00Z,2022-05-23T19:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Pittsburgh Maulers at New Orleans Breakers,0,PIT,MAULERS,Pittsburgh Maulers,1-5,16,True,False,NO,BREAKERS,New Orleans Breakers,4-2,26,False,False,,Pittsburgh Maulers at New Orleans Breakers
25,2022,philadelphia-stars-vs-houston-gamblers-20220529,3,False,2022-05-28T22:00:00Z,2022-05-31T01:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Philadelphia Stars at Houston Gamblers,0,PHI,STARS,Philadelphia Stars,4-3,35,False,False,HOU,GAMBLERS,Houston Gamblers,1-6,24,True,False,,Philadelphia Stars at Houston Gamblers
26,2022,birmingham-stallions-vs-pittsburgh-maulers-20220529,3,False,2022-05-28T18:00:00Z,2022-05-30T21:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Birmingham Stallions at Pittsburgh Maulers,2,BHAM,STALLIONS,Birmingham Stallions,7-0,26,False,False,PIT,MAULERS,Pittsburgh Maulers,1-6,16,True,False,,Birmingham Stallions at Pittsburgh Maulers
27,2022,new-orleans-breakers-vs-michigan-panthers-20220528,3,False,2022-05-28T01:00:00Z,2022-05-30T04:00:00Z,FINAL / OT,Protective Stadium,"Birmingham, AL",FOX Sports: New Orleans Breakers at Michigan Panthers,0,NO,BREAKERS,New Orleans Breakers,5-2,31,False,False,MICH,PANTHERS,Michigan Panthers,1-6,27,True,False,,New Orleans Breakers at Michigan Panthers
28,2022,new-jersey-generals-vs-tampa-bay-bandits-20220528,3,False,2022-05-27T16:00:00Z,2022-05-29T19:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: New Jersey Generals at Tampa Bay Bandits,0,NJ,GENERALS,New Jersey Generals,6-1,20,False,False,TB,BANDITS,Tampa Bay Bandits,3-4,13,True,False,,New Jersey Generals at Tampa Bay Bandits
29,2022,houston-gamblers-vs-birmingham-stallions-20220611,3,False,2022-06-10T22:00:00Z,2022-06-13T01:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Houston Gamblers at Birmingham Stallions,0,HOU,GAMBLERS,Houston Gamblers,2-7,17,False,False,BHAM,STALLIONS,Birmingham Stallions,8-1,15,True,False,,Houston Gamblers at Birmingham Stallions
30,2022,philadelphia-stars-vs-pittsburgh-maulers-20220612,3,False,2022-06-11T23:30:00Z,2022-06-14T02:30:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Philadelphia Stars at Pittsburgh Maulers,0,PHI,STARS,Philadelphia Stars,6-3,17,False,False,PIT,MAULERS,Pittsburgh Maulers,1-8,16,True,False,,Philadelphia Stars at Pittsburgh Maulers
31,2022,new-jersey-generals-vs-michigan-panthers-20220611,3,False,2022-06-10T17:00:00Z,2022-06-12T20:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: New Jersey Generals at Michigan Panthers,0,NJ,GENERALS,New Jersey Generals,8-1,25,False,False,MICH,PANTHERS,Michigan Panthers,1-8,23,True,False,,New Jersey Generals at Michigan Panthers
32,2022,tampa-bay-bandits-vs-new-orleans-breakers-20220612,3,False,2022-06-11T20:00:00Z,2022-06-13T23:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Tampa Bay Bandits at New Orleans Breakers,0,TB,BANDITS,Tampa Bay Bandits,4-5,6,True,False,NO,BREAKERS,New Orleans Breakers,6-3,17,False,False,,Tampa Bay Bandits at New Orleans Breakers
33,2022,michigan-panthers-vs-philadelphia-stars-20220605,3,False,2022-06-04T16:00:00Z,2022-06-06T19:00:00Z,FINAL,Legion Field,"Birmingham, AL",FOX Sports: Michigan Panthers at Philadelphia Stars,0,MICH,PANTHERS,Michigan Panthers,1-7,24,True,False,PHI,STARS,Philadelphia Stars,5-3,46,False,False,,Michigan Panthers at Philadelphia Stars
34,2022,houston-gamblers-vs-tampa-bay-bandits-20220605,3,False,2022-06-04T20:00:00Z,2022-06-06T23:00:00Z,FINAL,Legion Field,"Birmingham, AL",FOX Sports: Houston Gamblers at Tampa Bay Bandits,0,HOU,GAMBLERS,Houston Gamblers,1-7,3,True,False,TB,BANDITS,Tampa Bay Bandits,4-4,13,False,False,,Houston Gamblers at Tampa Bay Bandits
35,2022,pittsburgh-maulers-vs-new-jersey-generals-20220603,3,False,2022-06-03T00:00:00Z,2022-06-05T03:00:00Z,FINAL,Legion Field,"Birmingham, AL",FOX Sports: Pittsburgh Maulers at New Jersey Generals,0,PIT,MAULERS,Pittsburgh Maulers,1-7,18,True,False,NJ,GENERALS,New Jersey Generals,7-1,29,False,False,,Pittsburgh Maulers at New Jersey Generals
36,2022,new-orleans-breakers-vs-birmingham-stallions-20220604,3,False,2022-06-03T19:00:00Z,2022-06-05T22:00:00Z,FINAL,Legion Field,"Birmingham, AL",FOX Sports: New Orleans Breakers at Birmingham Stallions,0,NO,BREAKERS,New Orleans Breakers,5-3,9,True,False,BHAM,STALLIONS,Birmingham Stallions,8-0,10,False,False,,New Orleans Breakers at Birmingham Stallions
37,2022,michigan-panthers-vs-pittsburgh-maulers-20220619,3,False,2022-06-18T16:00:00Z,2022-06-20T19:00:00Z,FINAL,Legion Field,"Birmingham, AL",FOX Sports: Michigan Panthers at Pittsburgh Maulers,0,MICH,PANTHERS,Michigan Panthers,2-8,33,False,False,PIT,MAULERS,Pittsburgh Maulers,1-9,21,True,False,,Michigan Panthers at Pittsburgh Maulers
38,2022,philadelphia-stars-vs-new-jersey-generals-20220618,3,False,2022-06-17T16:00:00Z,2022-06-19T19:00:00Z,FINAL,Legion Field,"Birmingham, AL",FOX Sports: Philadelphia Stars at New Jersey Generals,0,PHI,STARS,Philadelphia Stars,6-4,23,True,False,NJ,GENERALS,New Jersey Generals,9-1,26,False,False,,Philadelphia Stars at New Jersey Generals
39,2022,birmingham-stallions-vs-tampa-bay-bandits-20220618,3,False,2022-06-17T20:00:00Z,2022-06-19T23:00:00Z,FINAL,Legion Field,"Birmingham, AL",FOX Sports: Birmingham Stallions at Tampa Bay Bandits,0,BHAM,STALLIONS,Birmingham Stallions,9-1,21,False,False,TB,BANDITS,Tampa Bay Bandits,4-6,18,True,False,,Birmingham Stallions at Tampa Bay Bandits
40,2022,new-orleans-breakers-vs-houston-gamblers-20220619,3,False,2022-06-19T00:30:00Z,2022-06-21T03:30:00Z,FINAL,Legion Field,"Birmingham, AL",FOX Sports: New Orleans Breakers at Houston Gamblers,1,NO,BREAKERS,New Orleans Breakers,6-4,3,True,False,HOU,GAMBLERS,Houston Gamblers,3-7,20,False,False,,New Orleans Breakers at Houston Gamblers
41,2022,philadelphia-stars-vs-new-jersey-generals-20220625,3,False,2022-06-24T19:00:00Z,2022-06-26T22:00:00Z,FINAL,Tom Benson Hall of Fame Stadium,"Canton, OH",FOX Sports: Philadelphia Stars at New Jersey Generals,1,PHI,STARS,Philadelphia Stars,6-4,19,False,False,NJ,GENERALS,New Jersey Generals,9-1,14,True,False,PLAYOFFS,Philadelphia Stars at New Jersey Generals
42,2022,new-orleans-breakers-vs-birmingham-stallions-20220625,3,False,2022-06-25T00:00:00Z,2022-06-27T03:00:00Z,FINAL,Tom Benson Hall of Fame Stadium,"Canton, OH",FOX Sports: New Orleans Breakers at Birmingham Stallions,0,NO,BREAKERS,New Orleans Breakers,6-4,17,True,False,BHAM,STALLIONS,Birmingham Stallions,9-1,31,False,False,PLAYOFFS,New Orleans Breakers at Birmingham Stallions
43,2022,birmingham-stallions-vs-philadelphia-stars-20220703,3,False,2022-07-02T23:30:00Z,2022-07-05T02:30:00Z,FINAL,Tom Benson Hall of Fame Stadium,"Canton, OH",FOX Sports: Birmingham Stallions at Philadelphia Stars,2,BHAM,STALLIONS,Birmingham Stallions,9-1,33,False,False,PHI,STARS,Philadelphia Stars,6-4,30,True,False,CHAMPIONSHIP,Birmingham Stallions at Philadelphia Stars
