game_id,season,analytics_description,event_status,is_tba,game_start,game_end,status_line,venue_name,venue_location,share_text,importance,away_team_abv,away_team_nickname,away_team_full_name,away_team_record,away_team_score,away_team_is_loser,away_team_has_possession,home_team_abv,home_team_nickname,home_team_full_name,home_team_record,home_team_score,home_team_is_loser,home_team_has_possession,additional_title,event_title
1,2022,new-jersey-generals-vs-birmingham-stallions-20220416,3,False,2022-04-15T23:30:00Z,2022-04-18T02:30:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: New Jersey Generals at Birmingham Stallions,2,NJ,Generals,New Jersey Generals,0-1,24,True,False,BHAM,Stallions,Birmingham Stallions,1-0,28,False,False,,New Jersey Generals vs. Birmingham Stallions
2,2022,houston-gamblers-vs-michigan-panthers-20220417,3,False,2022-04-16T16:00:00Z,2022-04-18T19:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Houston Gamblers at Michigan Panthers,0,HOU,Gamblers,Houston Gamblers,1-0,17,False,False,MICH,Panthers,Michigan Panthers,0-1,12,True,False,,Houston Gamblers vs. Michigan Panthers
3,2022,philadelphia-stars-vs-new-orleans-breakers-20220417,3,False,2022-04-16T21:00:00Z,2022-04-19T00:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Philadelphia Stars at New Orleans Breakers,0,PHI,Stars,Philadelphia Stars,0-1,17,True,False,NO,Breakers,New Orleans Breakers,1-0,23,False,False,,Philadelphia Stars vs. New Orleans Breakers
4,2022,tampa-bay-bandits-vs-pittsburgh-maulers-20220418,3,False,2022-04-17T23:00:00Z,2022-04-20T02:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Tampa Bay Bandits at Pittsburgh Maulers,2,TB,Bandits,Tampa Bay Bandits,1-0,17,False,False,PIT,Maulers,Pittsburgh Maulers,0-1,3,True,False,,Tampa Bay Bandits vs. Pittsburgh Maulers
5,2022,michigan-panthers-vs-new-jersey-generals-20220422,3,False,2022-04-22T00:00:00Z,2022-04-24T03:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Michigan Panthers at New Jersey Generals,0,MICH,Panthers,Michigan Panthers,0-2,6,True,False,NJ,Generals,New Jersey Generals,1-1,10,False,False,,Michigan Panthers vs. New Jersey Generals
6,2022,pittsburgh-maulers-vs-philadelphia-stars-20220423,3,False,2022-04-22T16:00:00Z,2022-04-24T19:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Pittsburgh Maulers at Philadelphia Stars,0,PIT,Maulers,Pittsburgh Maulers,0-2,23,True,False,PHI,Stars,Philadelphia Stars,1-1,30,False,False,,Pittsburgh Maulers vs. Philadelphia Stars
7,2022,birmingham-stallions-vs-houston-gamblers-20220423,3,False,2022-04-22T23:00:00Z,2022-04-25T02:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Birmingham Stallions at Houston Gamblers,0,BHAM,Stallions,Birmingham Stallions,2-0,33,False,False,HOU,Gamblers,Houston Gamblers,1-1,28,True,False,,Birmingham Stallions vs. Houston Gamblers
8,2022,new-orleans-breakers-vs-tampa-bay-bandits-20220424,3,False,2022-04-23T19:00:00Z,2022-04-25T22:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: New Orleans Breakers at Tampa Bay Bandits,0,NO,Breakers,New Orleans Breakers,2-0,34,False,False,TB,Bandits,Tampa Bay Bandits,1-1,3,True,False,,New Orleans Breakers vs. Tampa Bay Bandits
9,2022,tampa-bay-bandits-vs-houston-gamblers-20220430,3,False,2022-04-29T20:00:00Z,2022-05-01T23:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Tampa Bay Bandits at Houston Gamblers,0,TB,Bandits,Tampa Bay Bandits,2-1,27,False,False,HOU,Gamblers,Houston Gamblers,1-2,26,True,False,,Tampa Bay Bandits vs. Houston Gamblers
10,2022,pittsburgh-maulers-vs-michigan-panthers-20220501,3,False,2022-04-30T18:30:00Z,2022-05-02T21:30:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Pittsburgh Maulers at Michigan Panthers,0,PIT,Maulers,Pittsburgh Maulers,0-3,0,True,False,MICH,Panthers,Michigan Panthers,1-2,24,False,False,,Pittsburgh Maulers vs. Michigan Panthers
11,2022,birmingham-stallions-vs-new-orleans-breakers-20220430,3,False,2022-04-30T00:00:00Z,2022-05-02T03:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Birmingham Stallions at New Orleans Breakers,0,BHAM,Stallions,Birmingham Stallions,3-0,22,False,False,NO,Breakers,New Orleans Breakers,2-1,13,True,False,,Birmingham Stallions vs. New Orleans Breakers
12,2022,new-jersey-generals-vs-philadelphia-stars-20220501,3,False,2022-05-01T00:00:00Z,2022-05-03T03:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: New Jersey Generals at Philadelphia Stars,0,NJ,Generals,New Jersey Generals,2-1,24,False,False,PHI,Stars,Philadelphia Stars,1-2,16,True,False,,New Jersey Generals vs. Philadelphia Stars
13,2022,philadelphia-stars-vs-michigan-panthers-20220506,3,False,2022-05-06T02:00:00Z,2022-05-08T05:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Philadelphia Stars at Michigan Panthers,0,PHI,Stars,Philadelphia Stars,2-2,26,False,False,MICH,Panthers,Michigan Panthers,1-3,25,True,False,,Philadelphia Stars vs. Michigan Panthers
14,2022,new-jersey-generals-vs-pittsburgh-maulers-20220507,3,False,2022-05-06T18:30:00Z,2022-05-08T21:30:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: New Jersey Generals at Pittsburgh Maulers,0,NJ,Generals,New Jersey Generals,3-1,21,False,False,PIT,Maulers,Pittsburgh Maulers,0-4,13,True,False,,New Jersey Generals vs. Pittsburgh Maulers
15,2022,houston-gamblers-vs-new-orleans-breakers-20220508,3,False,2022-05-07T19:00:00Z,2022-05-09T22:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Houston Gamblers at New Orleans Breakers,0,HOU,Gamblers,Houston Gamblers,1-3,16,True,False,NO,Breakers,New Orleans Breakers,3-1,23,False,False,,Houston Gamblers vs. New Orleans Breakers
16,2022,tampa-bay-bandits-vs-birmingham-stallions-20220507,3,False,2022-05-06T23:00:00Z,2022-05-09T02:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Tampa Bay Bandits at Birmingham Stallions,0,TB,Bandits,Tampa Bay Bandits,2-2,10,True,False,BHAM,Stallions,Birmingham Stallions,4-0,16,False,False,,Tampa Bay Bandits vs. Birmingham Stallions
17,2022,pittsburgh-maulers-vs-houston-gamblers-20220515,3,False,2022-05-14T20:00:00Z,2022-05-16T23:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Pittsburgh Maulers at Houston Gamblers,0,PIT,Maulers,Pittsburgh Maulers,1-4,21,False,False,HOU,Gamblers,Houston Gamblers,1-4,20,True,False,,Pittsburgh Maulers vs. Houston Gamblers
18,2022,new-orleans-breakers-vs-new-jersey-generals-20220514,3,False,2022-05-13T19:00:00Z,2022-05-15T22:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: New Orleans Breakers at New Jersey Generals,0,NO,Breakers,New Orleans Breakers,3-2,17,True,False,NJ,Generals,New Jersey Generals,4-1,27,False,False,,New Orleans Breakers vs. New Jersey Generals
19,2022,birmingham-stallions-vs-philadelphia-stars-20220515,3,False,2022-05-14T16:00:00Z,2022-05-16T19:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Birmingham Stallions at Philadelphia Stars,0,BHAM,Stallions,Birmingham Stallions,5-0,30,False,False,PHI,Stars,Philadelphia Stars,2-3,17,True,False,,Birmingham Stallions vs. Philadelphia Stars
20,2022,michigan-panthers-vs-tampa-bay-bandits-20220513,3,False,2022-05-13T00:00:00Z,2022-05-15T03:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Michigan Panthers at Tampa Bay Bandits,0,MICH,Panthers,Michigan Panthers,1-4,20,True,False,TB,Bandits,Tampa Bay Bandits,3-2,27,False,False,,Michigan Panthers vs. Tampa Bay Bandits
21,2022,tampa-bay-bandits-vs-philadelphia-stars-20220521,3,False,2022-05-20T17:00:00Z,2022-05-22T20:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Tampa Bay Bandits at Philadelphia Stars,0,TB,Bandits,Tampa Bay Bandits,3-3,28,True,False,PHI,Stars,Philadelphia Stars,3-3,35,False,False,,Tampa Bay Bandits vs. Philadelphia Stars
22,2022,michigan-panthers-vs-birmingham-stallions-20220521,3,False,2022-05-20T23:30:00Z,2022-05-23T02:30:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Michigan Panthers at Birmingham Stallions,0,MICH,Panthers,Michigan Panthers,1-5,17,True,False,BHAM,Stallions,Birmingham Stallions,6-0,33,False,False,,Michigan Panthers vs. Birmingham Stallions
23,2022,houston-gamblers-vs-new-jersey-generals-20220522,3,False,2022-05-21T20:00:00Z,2022-05-23T23:00:00Z,FINAL,Protective Stadium,"Birmingham, AL",FOX Sports: Houston Gamblers at New Jersey Generals,0,HOU,Gamblers,Houston Gamblers,1-5,25,True,False,NJ,Generals,New Jersey Generals,5-1,26,False,False,,Houston Gamblers vs. New Jersey Generals
