season,team_id,team_analytics_name,team_name_arr,jersey_number,player_id,player_analytics_name,player_name,player_pos,player_age,player_height,player_weight,player_college,player_headshot,player_url
2023,2,birmingham-stallions,Birmingham Stallions,-,23,victor-bolden-jr,Victor Bolden Jr.,WR,31,"5'9""",175,Oregon State,https://b.fssta.com/uploads/application/usfl/headshots/23.vresize.140.170.medium.1.png,football/usfl/athletes/23
2023,2,birmingham-stallions,Birmingham Stallions,69,523,cohl-cabral,Cohl Cabral,C,28,"6'5""",304,Arizona State,https://b.fssta.com/uploads/application/usfl/headshots/523.vresize.140.170.medium.1.png,football/usfl/athletes/523
2023,2,birmingham-stallions,Birmingham Stallions,85,803,deon-cain,Deon Cain,WR,29,"6'2""",202,Clemson,https://b.fssta.com/uploads/application/usfl/headshots/803.vresize.140.170.medium.1.png,football/usfl/athletes/803
2023,2,birmingham-stallions,Birmingham Stallions,-,892,gray-davis,Gray Davis,G,-,"6'4""",300,Colorado State,https://b.fssta.com/uploads/application/fs-app/default-headshot.vresize.140.170.medium.0.png,football/usfl/athletes/892
2023,2,birmingham-stallions,Birmingham Stallions,-,909,christian-dilauro,Christian DiLauro,T,31,"6'5""",300,Illinois,https://b.fssta.com/uploads/application/fs-app/default-headshot.vresize.140.170.medium.0.png,football/usfl/athletes/909
2023,2,birmingham-stallions,Birmingham Stallions,74,2,oshea-dugas,O'Shea Dugas,OL,29,"6'4""",335,Louisiana Tech,https://b.fssta.com/uploads/application/usfl/headshots/2.vresize.140.170.medium.1.png,football/usfl/athletes/2
2023,2,birmingham-stallions,Birmingham Stallions,77,642,derwin-gray,Derwin Gray,T,31,"6'5""",320,Maryland,https://b.fssta.com/uploads/application/usfl/headshots/642.vresize.140.170.medium.1.png,football/usfl/athletes/642
2023,2,birmingham-stallions,Birmingham Stallions,16,475,adrian-hardy,Adrian Hardy,WR,29,"6'2""",205,Louisiana Tech,https://b.fssta.com/uploads/application/usfl/headshots/475.vresize.140.170.medium.1.png,football/usfl/athletes/475
2023,2,birmingham-stallions,Birmingham Stallions,76,21,darius-harper,Darius Harper,T,28,"6'6""",310,Cincinnati,https://b.fssta.com/uploads/application/usfl/headshots/21.vresize.140.170.medium.1.png,football/usfl/athletes/21
2023,2,birmingham-stallions,Birmingham Stallions,44,286,bobby-holly,Bobby Holly,FB,29,"5'11""",240,Louisiana Tech,https://b.fssta.com/uploads/application/usfl/headshots/286.vresize.140.170.medium.1.png,football/usfl/athletes/286
2023,2,birmingham-stallions,Birmingham Stallions,1,840,josh-johnson,Josh Johnson,WR,26,"5'11""",183,Tulsa,https://b.fssta.com/uploads/application/fs-app/default-headshot.vresize.140.170.medium.0.png,football/usfl/athletes/840
2023,2,birmingham-stallions,Birmingham Stallions,-,917,zack-johnson,Zack Johnson,G,32,"6'6""",315,North Dakota State,https://b.fssta.com/uploads/application/fs-app/default-headshot.vresize.140.170.medium.0.png,football/usfl/athletes/917
2023,2,birmingham-stallions,Birmingham Stallions,11,25,cj-marable,CJ Marable,RB,29,"5'11""",194,Coastal Carolina,https://b.fssta.com/uploads/application/usfl/headshots/25.vresize.140.170.medium.1.png,football/usfl/athletes/25
2023,2,birmingham-stallions,Birmingham Stallions,-,728,adrian-martinez,Adrian Martinez,QB,26,"6'3""",225,Kansas State,https://b.fssta.com/uploads/application/fs-app/default-headshot.vresize.140.170.medium.0.png,football/usfl/athletes/728
2023,2,birmingham-stallions,Birmingham Stallions,81,630,myron-mitchell,Myron Mitchell,WR,28,"6'1""",180,UAB,https://b.fssta.com/uploads/application/usfl/headshots/630.vresize.140.170.medium.1.png,football/usfl/athletes/630
2023,2,birmingham-stallions,Birmingham Stallions,18,623,jalen-morton,Jalen Morton,QB,29,"6'4""",226,Prairie View A&M,https://b.fssta.com/uploads/application/usfl/headshots/623.vresize.140.170.medium.1.png,football/usfl/athletes/623
2023,2,birmingham-stallions,Birmingham Stallions,86,835,thaddeus-moss,Thaddeus Moss,TE,28,"6'3""",249,LSU,https://b.fssta.com/uploads/application/fs-app/default-headshot.vresize.140.170.medium.0.png,football/usfl/athletes/835
2023,2,birmingham-stallions,Birmingham Stallions,23,847,ricky-person-jr,Ricky Person Jr.,RB,26,"6'1""",220,North Carolina State,https://b.fssta.com/uploads/application/fs-app/default-headshot.vresize.140.170.medium.0.png,football/usfl/athletes/847
2023,2,birmingham-stallions,Birmingham Stallions,73,282,ryan-pope,Ryan Pope,T,29,"6'7""",315,San Diego State,https://b.fssta.com/uploads/application/usfl/headshots/282.vresize.140.170.medium.1.png,football/usfl/athletes/282
2023,2,birmingham-stallions,Birmingham Stallions,19,12,peyton-ramzy,Peyton Ramzy,WR,29,"6'1""",173,Tuskegee,https://b.fssta.com/uploads/application/usfl/headshots/12.vresize.140.170.medium.1.png,football/usfl/athletes/12
2023,2,birmingham-stallions,Birmingham Stallions,-,940,amari-rodgers,Amari Rodgers,WR,-,"5'10""",210,Clemson,https://b.fssta.com/uploads/application/fs-app/default-headshot.vresize.140.170.medium.0.png,football/usfl/athletes/940
2023,2,birmingham-stallions,Birmingham Stallions,67,518,jahmir-johnson,Jahmir Ross-Johnson,T,28,"6'5""",300,Texas A&M,https://b.fssta.com/uploads/application/usfl/headshots/518.vresize.140.170.medium.1.png,football/usfl/athletes/518
2023,2,birmingham-stallions,Birmingham Stallions,25,414,bo-scarbrough,Bo Scarbrough,RB,31,"6'1""",235,Alabama,https://b.fssta.com/uploads/application/usfl/headshots/414.vresize.140.170.medium.1.png,football/usfl/athletes/414
2023,2,birmingham-stallions,Birmingham Stallions,65,828,cole-schneider,Cole Schneider,G,27,"6'3""",315,UCF,https://b.fssta.com/uploads/application/usfl/headshots/828.vresize.140.170.medium.1.png,football/usfl/athletes/828
2023,2,birmingham-stallions,Birmingham Stallions,3,130,kyle-sloter,Kyle Sloter,QB,32,"6'5""",218,Northern Colorado,https://b.fssta.com/uploads/application/usfl/headshots/130.vresize.140.170.medium.1.png,football/usfl/athletes/130
2023,2,birmingham-stallions,Birmingham Stallions,6,3,jmar-smith,J'Mar Smith,QB,29,"6'1""",218,Louisiana Tech,https://b.fssta.com/uploads/application/usfl/headshots/3.vresize.140.170.medium.1.png,football/usfl/athletes/3
2023,2,birmingham-stallions,Birmingham Stallions,12,681,jace-sternberger,Jace Sternberger,TE,30,"6'4""",251,Texas A&M,https://b.fssta.com/uploads/application/usfl/headshots/681.vresize.140.170.medium.1.png,football/usfl/athletes/681
2023,2,birmingham-stallions,Birmingham Stallions,-,946,armani-taylor-prioleau,Armani Taylor-Prioleau,T,-,"6'9""",310,South Carolina State,https://b.fssta.com/uploads/application/fs-app/default-headshot.vresize.140.170.medium.0.png,football/usfl/athletes/946
2023,2,birmingham-stallions,Birmingham Stallions,-,947,binjimen-victor,Binjimen Victor,WR,-,"6'4""",199,Ohio State,https://b.fssta.com/uploads/application/fs-app/default-headshot.vresize.140.170.medium.0.png,football/usfl/athletes/947
2023,2,birmingham-stallions,Birmingham Stallions,79,841,trevour-wallace-simms,Tre'Vour Wallace-Simms,G,28,"6'5""",330,Missouri,https://b.fssta.com/uploads/application/fs-app/default-headshot.vresize.140.170.medium.0.png,football/usfl/athletes/841
2023,2,birmingham-stallions,Birmingham Stallions,-,908,isaac-weaver,Isaac Weaver,C,28,"6'6""",310,Old Dominion,https://b.fssta.com/uploads/application/fs-app/default-headshot.vresize.140.170.medium.0.png,football/usfl/athletes/908
2023,2,birmingham-stallions,Birmingham Stallions,4,667,zaquandre-white,Zaquandre White,RB,27,"6'1""",215,South Carolina,https://b.fssta.com/uploads/application/usfl/headshots/667.vresize.140.170.medium.1.png,football/usfl/athletes/667
2023,2,birmingham-stallions,Birmingham Stallions,17,281,marlon-williams,Marlon Williams,WR,26,"5'11""",204,UCF,https://b.fssta.com/uploads/application/usfl/headshots/281.vresize.140.170.medium.1.png,football/usfl/athletes/281
2023,2,birmingham-stallions,Birmingham Stallions,29,20,brian-allen,Brian Allen,CB,32,"6'3""",210,Utah,https://b.fssta.com/uploads/application/usfl/headshots/20.vresize.140.170.medium.1.png,football/usfl/athletes/20
2023,2,birmingham-stallions,Birmingham Stallions,26,617,nate-brooks,Nate Brooks,CB,30,"6'0""",192,North Texas,https://b.fssta.com/uploads/application/usfl/headshots/617.vresize.140.170.medium.1.png,football/usfl/athletes/617
