team_id,team_analytics_name,team_name,team_city,team_state,team_nickname,Division,team_primary_color,team_secondary_color,team_third_color,team_home_color,team_home_num_outline,team_home_num_color,team_away_color,team_away_num_outline,team_away_num_color,team_full_logo_url,team_logo_url,team_wordmark_url
2,birmingham-stallions,Birmingham Stallions,Birmingham,AL,Stallions,SOUTH,#CB0A18,#E1DBB9,#FFFFFF,#CB0A18,#E1DBB9,#FFFFFF,#FFFFFF,#E1DBB9,#CB0A18,https://b.fssta.com/uploads/application/usfl/team-logos/Stallions.vresize.200.200.medium.1.png,https://b.fssta.com/uploads/application/usfl/team-logos/Stallions.vresize.200.200.medium.1.png,
4,philadelphia-stars,Philadelphia Stars,Detroit,MI,Stars,NORTH,#DC0435,#F7DA13,#FF6B00,#DC0435,#FFFFFF,#F7DA13,#FFFFFF,#F7DA13,#DC0435,https://b.fssta.com/uploads/application/usfl/team-logos/Stars.vresize.200.200.medium.1.png,https://b.fssta.com/uploads/application/usfl/team-logos/Stars-alternate.vresize.200.200.medium.1.png,
6,houston-gamblers,Houston Gamblers,Memphis,TN,Gamblers,SOUTH,#000000,#E60005,#FEBC00,#000000,#E60005,#FFFFFF,#FFFFFF,#E60005,#000000,https://b.fssta.com/uploads/application/usfl/team-logos/Gamblers.vresize.200.200.medium.1.png,https://b.fssta.com/uploads/application/usfl/team-logos/Gamblers-alternate.vresize.200.200.medium.1.png,
7,new-orleans-breakers,New Orleans Breakers,Birmingham,AL,Breakers,SOUTH,#0821BC,#5CBDF5,#FFFFFF,#0821BC,#5CBDF5,#FFFFFF,#FFFFFF,#5CBDF5,#0821BC,https://b.fssta.com/uploads/application/usfl/team-logos/Breakers.vresize.200.200.medium.1.png,https://b.fssta.com/uploads/application/usfl/team-logos/Breakers-alternate.vresize.200.200.medium.1.png,
11,michigan-panthers,Michigan Panthers,Detroit,MI,Panthers,NORTH,#5A0722,#DACEA5,#5E9ECB,#5A0722,#5A0722,#FFFFFF,#FFFFFF,#FFFFFF,#5A0722,https://b.fssta.com/uploads/application/usfl/team-logos/Panthers.vresize.200.200.medium.1.png,https://b.fssta.com/uploads/application/usfl/team-logos/Panthers.vresize.200.200.medium.1.png,
12,new-jersey-generals,New Jersey Generals,Canton,OH,Generals,NORTH,#E3072D,#E6B962,#033067,#E3072D,#033067,#FFFFFF,#FFFFFF,#033067,#E3072D,https://b.fssta.com/uploads/application/usfl/team-logos/Generals.vresize.200.200.medium.1.png,https://b.fssta.com/uploads/application/usfl/team-logos/Generals-alternate.vresize.200.200.medium.1.png,
16,pittsburgh-maulers,Pittsburgh Maulers,Canton,OH,Maulers,NORTH,#000000,#FBC500,#FFFFFF,#000000,#FBC500,#FFFFFF,#FFFFFF,#FBC500,#000000,https://b.fssta.com/uploads/application/usfl/team-logos/Maulers.vresize.200.200.medium.5.png,https://b.fssta.com/uploads/application/usfl/team-logos/Maulers.vresize.200.200.medium.5.png,
20,memphis-showboats,Memphis Showboats,Memphis,TN,Bandits,SOUTH,#363D69,#F8A022,#FFFFFF,#363D69,#F8A022,#FFFFFF,#FFFFFF,#F8A022,#363D69,https://b.fssta.com/uploads/application/usfl/team-logos/Bandits.vresize.200.200.medium.1.png,https://b.fssta.com/uploads/application/usfl/team-logos/Bandits-alternate.vresize.200.200.medium.1.png,
